Timestamp_ms, Distance_m, Accel_X, Accel_Y, Accel_Z
100, 0.17, -40, -48, 1000
200, 0.13, -36, -48, 1000
300, 0.17, -40, -48, 996
400, 0.17, -40, -48, 996
500, 0.27, -32, -52, 1004
600, 0.17, -32, -52, 1000
700, 0.21, -32, -48, 1000
800, 0.17, -40, -48, 1000
900, 0.21, -40, -44, 1000
1000, 0.19, -32, -44, 1000
1100, 0.19, -40, -48, 992
1200, 0.20, -36, -48, 1000
1300, 0.20, -36, -48, 1004
1400, 0.20, -32, -44, 1008
1500, 0.20, -36, -44, 1000
1600, 0.20, -40, -48, 996
1700, 0.20, -40, -48, 1000
1800, 0.20, -36, -48, 992
1900, 0.20, -40, -44, 996
2000, 0.21, -36, -48, 996
2100, 0.20, -32, -44, 996
2200, 0.19, -28, -44, 996
2300, 0.19, -36, -52, 996
2400, 0.19, -40, -52, 988
2500, 0.17, -36, -44, 1000
2600, 0.16, -32, -48, 1000
2700, 0.16, -36, -48, 1000
2800, 0.16, -44, -48, 996
2900, 0.15, -36, -44, 1000
3000, 0.14, -36, -52, 1004
3100, 0.14, -20, -56, 996
3200, 0.14, -24, -60, 996
3300, 0.14, -32, -48, 1000
3400, 0.15, -32, -48, 996
3500, 0.16, -36, -48, 1000
3600, 0.16, -36, -48, 996
3700, 0.15, -32, -48, 1000
3800, 0.16, -32, -48, 996
3900, 0.16, -36, -48, 992
4000, 0.15, -40, -44, 1000
4100, 0.15, -36, -48, 1000
4200, 0.16, -32, -52, 996
4300, 0.16, -36, -48, 996
4400, 0.16, -32, -44, 992
4500, 0.16, -32, -44, 992
4600, 0.16, -36, -48, 996
4700, 0.17, -44, -48, 996
4800, 0.18, -36, -44, 992
4900, 0.19, -52, -24, 1008
5000, 0.20, -40, -48, 1024
5100, 0.20, -36, -28, 988
5200, 0.20, -32, -28, 1020
5300, 0.20, -300, 688, -60
5400, 0.20, 56, -108, 792
5500, 0.20, -8, -12, 996
5600, 0.21, 32, -64, 988
5700, 0.22, 16, -20, 996
5800, 0.22, 0, 0, 996
5900, 0.23, -8, 0, 992
6000, 0.24, 24, 12, 952
6100, 0.25, 56, 4, 940
6200, 0.25, 8, 8, 988
