Timestamp_ms, Distance_m, Simulated_Data
100, 0.03,  0.300
200, 0.03,  0.200
300, 0.00,  0.100
400, 0.03,  0.000
500, 0.03, -0.100
600, 0.09, -0.200
700, 0.02, -0.300
800, 0.00, -0.400
900, 0.08, -0.500
1000, 0.01, -0.600
1100, 0.00, -0.700
1200, 0.00, -0.800
1300, 0.00, -0.900
1400, 0.00, -1.000
1500, 0.00, -0.900
1600, 0.01, -0.800
1700, 0.01, -0.700
1800, 0.00, -0.600
1900, 0.00, -0.500
2000, 0.00, -0.400
2100, 0.01, -0.300
2200, 0.02, -0.200
2300, 0.02, -0.100
2400, 0.04,  0.000
2500, 0.08,  0.100
2600, 0.10,  0.200
2700, 0.13,  0.300
2800, 0.15,  0.400
2900, 0.17,  0.500
3000, 0.20,  0.600
3100, 0.23,  0.700
3200, 0.24,  0.800
3300, 0.27,  0.900
3400, 0.27,  1.000
3500, 0.26,  0.900
3600, 0.25,  0.800
3700, 0.25,  0.700
3800, 0.25,  0.600
3900, 0.26,  0.500
4000, 0.27,  0.400
4100, 0.26,  0.300
4200, 0.25,  0.200
4300, 0.23,  0.100
4400, 0.22,  0.000
4500, 0.22, -0.100
4600, 0.23, -0.200
4700, 0.24, -0.300
4800, 0.23, -0.400
4900, 0.24, -0.500
5000, 0.22, -0.600
5100, 0.21, -0.700
5200, 0.22, -0.800
5300, 0.23, -0.900
5400, 0.24, -1.000
5500, 0.25, -0.900
5600, 0.25, -0.800
5700, 0.24, -0.700
5800, 0.25, -0.600
5900, 0.25, -0.500
6000, 0.25, -0.400
6100, 0.25, -0.300
6200, 0.25, -0.200
6300, 0.25, -0.100
6400, 0.25,  0.000
6500, 0.25,  0.100
6600, 0.25,  0.200
6700, 0.26,  0.300
6800, 0.26,  0.400
6900, 0.26,  0.500
7000, 0.26,  0.600
7100, 0.26,  0.700
7200, 0.26,  0.800
7300, 0.26,  0.900
7400, 0.25,  1.000
7500, 0.25,  0.900
7600, 0.25,  0.800
7700, 0.24,  0.700
7800, 0.24,  0.600
7900, 0.23,  0.500
8000, 0.23,  0.400
8100, 0.23,  0.300
8200, 0.22,  0.200
8300, 0.22,  0.100
8400, 0.22,  0.000
8500, 0.22, -0.100
8600, 0.22, -0.200
8700, 0.22, -0.300
8800, 0.22, -0.400
8900, 0.22, -0.500
9000, 0.22, -0.600
9100, 0.23, -0.700
9200, 0.23, -0.800
9300, 0.23, -0.900
9400, 0.22, -1.000
9500, 0.22, -0.900
9600, 0.22, -0.800
9700, 0.22, -0.700
9800, 0.23, -0.600
9900, 0.23, -0.500
10000, 0.23, -0.400
10100, 0.23, -0.300
10200, 0.24, -0.200
10300, 0.23, -0.100
10400, 0.24,  0.000
10500, 0.24,  0.100
10600, 0.24,  0.200
10700, 0.23,  0.300
10800, 0.23,  0.400
10900, 0.23,  0.500
11000, 0.21,  0.600
11100, 0.21,  0.700
11200, 0.21,  0.800
11300, 0.22,  0.900
11400, 0.23,  1.000
11500, 0.24,  0.900
11600, 0.24,  0.800
11700, 0.25,  0.700
11800, 0.25,  0.600
11900, 0.26,  0.500
12000, 0.28,  0.400
12100, 0.28,  0.300
12200, 0.27,  0.200
12300, 0.26,  0.100
12400, 0.26,  0.000
12500, 0.26, -0.100
12600, 0.25, -0.200
12700, 0.25, -0.300
12800, 0.25, -0.400
12900, 0.25, -0.500
13000, 0.25, -0.600
13100, 0.25, -0.700
13200, 0.26, -0.800
13300, 0.26, -0.900
13400, 0.26, -1.000
13500, 0.25, -0.900
13600, 0.25, -0.800
13700, 0.24, -0.700
13800, 0.25, -0.600
13900, 0.24, -0.500
14000, 0.24, -0.400
14100, 0.25, -0.300
14200, 0.22, -0.200
14300, 0.22, -0.100
14400, 0.23,  0.000
14500, 0.24,  0.100
14600, 0.24,  0.200
14700, 0.25,  0.300
14800, 0.23,  0.400
14900, 0.23,  0.500
15000, 0.23,  0.600
15100, 0.21,  0.700
15200, 0.21,  0.800
15300, 0.21,  0.900
15400, 0.20,  1.000
15500, 0.21,  0.900
15600, 0.22,  0.800
15700, 0.22,  0.700
15800, 0.22,  0.600
15900, 0.20,  0.500
16000, 0.23,  0.400
16100, 0.25,  0.300
16200, 0.25,  0.200
16300, 0.25,  0.100
16400, 0.27,  0.000
16500, 0.24, -0.100
16600, 0.22, -0.200
16700, 0.23, -0.300
16800, 0.27, -0.400
16900, 0.29, -0.500
17000, 0.27, -0.600
17100, 0.27, -0.700
17200, 0.27, -0.800
17300, 0.27, -0.900
17400, 0.25, -1.000
